"Ayckbourn_Jeeves" "Black_Boulevard" "Black_Express" "Black_Song" "Black_Sunday" "Black_Ward" "Eliot_Cats" "Elton_Game" "Hampton_Boulevard" "Hampton_Ward" "Harburg_Oz" "Hart_Aspects" "Hart_Love" "Hart_Phantom" "Maltby_Song" "Nunn_Cats" "Rice_Evita" "Rice_JCS" "Rice_Joseph" "Rice_Likes" "Rice_Oz" "Slater_Love" "Slater_Rock" "Steinman_Whistle" "Stilgoe_Cats" "Stilgoe_Express" "Stilgoe_Phantom" "Yazbek_Express" "Zippel_Woman"
"that" 1.31614289551437 0.63232018394769 0.864197530864197 1.24160390799919 1.18384401114206 0.568181818181818 0.928505106778087 0.694444444444444 0.63232018394769 0.568181818181818 0.778354336545589 0.920856147336984 0.785979819437069 0.716662400819043 1.24160390799919 0.928505106778087 0.708157428843797 0.927947598253275 0.73887186880519 1.2924071082391 0.778354336545589 0.785979819437069 0.707427993936331 0.737489025460931 0.928505106778087 0.864197530864197 0.716662400819043 0.864197530864197 0.776610324349018
"be" 0.56406124093473 0.696989293669613 0.65843621399177 1.18054142072054 1.32311977715877 1.98863636363636 0.557103064066852 1.08251633986928 0.696989293669613 1.98863636363636 1.00074128984433 1.50572424091588 0.509824747742963 0.665472229331968 1.18054142072054 0.557103064066852 1.22565708838349 0.682314410480349 0.684808073526762 0.403877221324717 1.00074128984433 0.509824747742963 0.90955027791814 0.456540825285338 0.557103064066852 0.65843621399177 0.665472229331968 0.65843621399177 0.621288259479214
"your" 0.56406124093473 0.438312854781921 0.315500685871056 1.05841644616324 1.1142061281337 0.568181818181818 0.309501702259362 0.837418300653595 0.438312854781921 0.568181818181818 0.407709414381023 0.746640119462419 0.892193308550186 1.66368057332992 1.05841644616324 0.309501702259362 1.02138090698625 1.1735807860262 0.846999459362047 1.2924071082391 0.407709414381023 0.892193308550186 0.606366851945427 0.649692712906058 0.309501702259362 0.315500685871056 1.66368057332992 0.315500685871056 0.913659205116492
"for" 0.69836153639538 0.675432923762305 0.548696844993141 0.610624872786485 0.591922005571031 1.13636363636364 0.974930362116992 1.45016339869281 0.675432923762305 1.13636363636364 0.630096367679763 0.79641612742658 0.520446096654275 0.6526746864602 0.610624872786485 0.974930362116992 0.994144082799945 0.873362445414847 0.558659217877095 0.565428109854604 0.630096367679763 0.520446096654275 0.353713996968166 0.667251975417033 0.974930362116992 0.548696844993141 0.6526746864602 0.548696844993141 1.05984467793513
"all" 0.94010206822455 0.668247467126536 0.397805212620027 0.875228984327295 0.626740947075209 0.568181818181818 0.897554936552151 0.980392156862745 0.668247467126536 0.568181818181818 0.667160859896219 0.559980089596814 0.955921402018056 0.550294343486051 0.875228984327295 0.897554936552151 0.953288846520496 0.805131004366812 0.702829338619571 0.565428109854604 0.667160859896219 0.955921402018056 1.01061141990905 0.649692712906058 0.897554936552151 0.397805212620027 0.550294343486051 0.397805212620027 0.703517587939699
"we" 0.48348106365834 0.711360206941151 0.795610425240055 0.753104009769998 1.00974930362117 0.568181818181818 0.479727638502012 1.22549019607843 0.711360206941151 0.568181818181818 0.926612305411416 0.510204081632653 0.626659585767392 0.524699257742513 0.753104009769998 0.479727638502012 0.871578373961596 1.26910480349345 0.973148315011714 0.646203554119548 0.926612305411416 0.626659585767392 0.202122283981809 0.702370500438982 0.479727638502012 0.795610425240055 0.524699257742513 0.795610425240055 0.740063956144358
"have" 0.48348106365834 0.696989293669613 0.617283950617284 0.895583146753511 0.626740947075209 0.568181818181818 0.402352212937171 0.633169934640523 0.696989293669613 0.568181818181818 0.0741289844329133 0.933300149328024 0.403611258629846 0.639877143588431 0.895583146753511 0.402352212937171 0.517499659539698 1.15993449781659 0.504595422598666 1.13085621970921 0.0741289844329133 0.403611258629846 0.0505305709954522 0.913081650570676 0.402352212937171 0.617283950617284 0.639877143588431 0.617283950617284 0.621288259479214
"what" 0.59092130002686 0.553280160954229 0.397805212620027 0.569916547934053 0.313370473537604 0.568181818181818 0.309501702259362 0.490196078431373 0.553280160954229 0.568181818181818 0.370644922164566 0.7715281234445 1.0833775889538 0.499104171998976 0.569916547934053 0.309501702259362 0.626446956284897 0.791484716157205 0.594701748062714 0.484652665589661 0.370644922164566 1.0833775889538 0.606366851945427 1.43985952589991 0.309501702259362 0.397805212620027 0.499104171998976 0.397805212620027 0.621288259479214
"no" 0.29546065001343 0.366458288424229 1.08367626886145 0.692041522491349 0.661559888579387 0.568181818181818 0.402352212937171 0.551470588235294 0.366458288424229 0.568181818181818 0.852483320978503 0.39820806371329 0.382368560807223 0.857435372408498 0.692041522491349 0.402352212937171 0.531118071632848 0.423034934497817 0.540637952784286 0.726978998384491 0.852483320978503 0.382368560807223 0.656897422940879 0.77260755048288 0.402352212937171 1.08367626886145 0.857435372408498 1.08367626886145 0.666971219735039
"this" 0.51034112275047 0.747287490119997 0.342935528120713 0.651333197638917 0.522284122562674 1.98863636363636 0.216651191581554 0.959967320261438 0.747287490119997 1.98863636363636 0.259451445515196 0.846192135390742 0.467339352097716 1.12618377271564 0.651333197638917 0.216651191581554 0.422170774887648 0.682314410480349 0.504595422598666 0.323101777059774 0.259451445515196 0.467339352097716 0.151591712986357 0.280948200175593 0.216651191581554 0.342935528120713 1.12618377271564 0.342935528120713 0.639561443581544
